2024-10-05 06:04:22,203 [   9272]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Visual Studio" not found PluginDescriptor(name=IDEA CORE, id=com.intellij, descriptorPath=plugin.xml, path=/usr/local/pycharm/lib, version=221.5787.24, package=null, isBundled=true)
2024-10-05 06:04:58,668 [  45737]   WARN - #c.i.d.PerformanceWatcherImpl - UI was frozen for 6605ms, details saved to /home/hduser/.cache/JetBrains/PyCharmCE2022.1/log/threadDumps-freeze-20241005-060457-PC-221.5787.24-6sec
2024-10-05 06:05:01,520 [  48589]   WARN - #c.i.o.a.i.ActionUpdater - 504 ms to grab EDT for OpenFileAction#update (com.intellij.ide.actions.OpenFileAction)
2024-10-05 06:05:01,631 [  48700]   WARN - #c.i.o.a.i.ActionUpdater - 466 ms to grab EDT for CWMTelephonyGroup#update (com.jetbrains.rd.platform.codeWithMe.telephony.CWMTelephonyGroup)
2024-10-05 06:05:05,426 [  52495]   WARN - #c.i.o.a.i.ActionUpdater - 962 ms to grab EDT for SoftWrapAction#update (com.jetbrains.python.console.PydevConsoleRunnerImpl$SoftWrapAction)
2024-10-05 06:05:05,449 [  52518]   WARN - #c.i.o.a.i.ActionUpdater - 364 ms to grab EDT for CWMTelephonyGroup#update (com.jetbrains.rd.platform.codeWithMe.telephony.CWMTelephonyGroup)
2024-10-05 06:05:13,756 [  60825]   WARN - #c.i.o.a.i.ActionUpdater - 242 ms to grab EDT for CodeWithMeUsersAction#update (com.jetbrains.rd.platform.codeWithMe.toolbar.CodeWithMeUsersAction)
2024-10-05 06:05:18,596 [  65665]   WARN - #c.i.o.a.i.ActionUpdater - 348 ms to grab EDT for CWMTelephonyGroup#update (com.jetbrains.rd.platform.codeWithMe.telephony.CWMTelephonyGroup)
2024-10-05 06:05:22,440 [  69509]   WARN - #c.i.o.a.i.ActionUpdater - 297 ms to grab EDT for AddAnotherBookmarkAction#update (com.intellij.ide.bookmark.actions.AddAnotherBookmarkAction)
2024-10-05 06:05:22,709 [  69778]   WARN - #c.i.o.a.i.ActionUpdater - 268 ms to grab EDT for DefaultCompactActionGroup#update (com.intellij.openapi.actionSystem.DefaultCompactActionGroup)
2024-10-05 06:05:22,709 [  69778]   WARN - #c.i.o.a.i.ActionUpdater - 268 ms to grab EDT for EditBookmarkAction#update (com.intellij.ide.bookmark.actions.EditBookmarkAction)
2024-10-05 06:05:24,010 [  71079]   WARN - #c.i.o.a.i.ActionUpdater - 440 ms to call on EDT TextSearchAction#update (com.intellij.find.impl.TextSearchContributor$Companion$TextSearchAction). Use `UpdateInBackground`.
2024-10-05 06:05:24,415 [  71484]   WARN - #c.i.o.a.i.ActionUpdater - 361 ms to grab EDT for GotoLineAction#update (com.intellij.ide.actions.GotoLineAction)
2024-10-05 06:05:27,477 [  74546]   WARN - #c.i.o.a.i.ActionUpdater - 336 ms to grab EDT for ToggleLineBreakpointAction#update (com.intellij.xdebugger.impl.actions.ToggleLineBreakpointAction)
2024-10-05 06:05:27,477 [  74546]   WARN - #c.i.o.a.i.ActionUpdater - 642 ms to call on EDT ToggleLineBreakpointAction#update (com.intellij.xdebugger.impl.actions.ToggleLineBreakpointAction). Use `UpdateInBackground`.
2024-10-05 06:05:27,605 [  74674]   WARN - #c.i.o.a.i.ActionUpdater - 1098 ms to grab EDT for RearrangeCodeAction#update (com.intellij.application.options.codeStyle.arrangement.action.RearrangeCodeAction)
2024-10-05 06:05:29,093 [  76162]   WARN - #c.i.o.a.i.ActionUpdater - 1487 ms to call on BGT UpdateCopyrightAction#update (com.maddyhome.idea.copyright.actions.UpdateCopyrightAction)
2024-10-05 06:05:29,513 [  76582]   WARN - #c.i.o.a.i.ActionUpdater - 410 ms to grab EDT for ImportTestsGroup#update (com.intellij.execution.testframework.sm.runner.history.actions.ImportTestsGroup)
2024-10-05 06:05:31,494 [  78563]   WARN - #c.i.o.a.i.ActionUpdater - 1083 ms to grab EDT for DefaultCompactActionGroup#update (com.intellij.openapi.actionSystem.DefaultCompactActionGroup)
2024-10-05 06:05:31,584 [  78653]   WARN - #c.i.o.a.i.ActionUpdater - 1799 ms to call on BGT DefaultActionGroup#getChildren (com.intellij.openapi.actionSystem.DefaultActionGroup)
2024-10-05 06:05:32,201 [  79270]   WARN - #c.i.o.a.i.ActionUpdater - 396 ms to grab EDT for ToggleBoldFontAction#update (com.intellij.application.options.colors.FontEditorPreview$ToggleBoldFontAction)
2024-10-05 06:05:35,158 [  82227]   WARN - #c.i.o.a.i.ActionUpdater - 114 ms to call on EDT CWMHostShowPopupAction#update (com.jetbrains.rdserver.toolbar.CWMHostShowPopupAction). Use `UpdateInBackground`.
2024-10-05 06:07:55,669 [ 222738]   WARN - #c.i.o.a.i.ActionUpdater - 504 ms to grab EDT for TabListAction#update (com.intellij.ide.actions.TabListAction)
2024-10-05 06:08:12,604 [ 239673]   WARN - #c.i.o.a.i.ActionUpdater - 221 ms to grab EDT for BaseOpenInBrowserAction#update (com.intellij.ide.browsers.actions.BaseOpenInBrowserAction)
2024-10-05 06:09:25,932 [ 313001]   WARN - #c.i.o.a.i.ActionUpdater - 540 ms to grab EDT for ToggleBoldFontAction#update (com.intellij.application.options.colors.FontEditorPreview$ToggleBoldFontAction)
2024-10-05 18:52:35,120 [   9703]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Visual Studio" not found PluginDescriptor(name=IDEA CORE, id=com.intellij, descriptorPath=plugin.xml, path=/usr/local/pycharm/lib, version=221.5787.24, package=null, isBundled=true)
2024-10-05 18:52:35,137 [   9720]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Eclipse" not found PluginDescriptor(name=IDEA CORE, id=com.intellij, descriptorPath=plugin.xml, path=/usr/local/pycharm/lib, version=221.5787.24, package=null, isBundled=true)
2024-10-05 18:52:35,137 [   9720]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "NetBeans 6.5" not found PluginDescriptor(name=IDEA CORE, id=com.intellij, descriptorPath=plugin.xml, path=/usr/local/pycharm/lib, version=221.5787.24, package=null, isBundled=true)
2024-10-05 18:52:35,138 [   9721]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Visual Studio" not found PluginDescriptor(name=IDEA CORE, id=com.intellij, descriptorPath=plugin.xml, path=/usr/local/pycharm/lib, version=221.5787.24, package=null, isBundled=true)
2024-10-05 18:52:35,344 [   9927]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Eclipse" not found PluginDescriptor(name=Python Community Edition, id=PythonCore, descriptorPath=plugin.xml, path=/usr/local/pycharm/plugins/python-ce, version=221.5787.24, package=null, isBundled=true)
2024-10-05 18:52:35,344 [   9927]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "NetBeans 6.5" not found PluginDescriptor(name=Python Community Edition, id=PythonCore, descriptorPath=plugin.xml, path=/usr/local/pycharm/plugins/python-ce, version=221.5787.24, package=null, isBundled=true)
2024-10-05 18:52:35,356 [   9939]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Eclipse" not found PluginDescriptor(name=GitHub, id=org.jetbrains.plugins.github, descriptorPath=plugin.xml, path=/usr/local/pycharm/plugins/github, version=221.5787.24, package=org.jetbrains.plugins.github, isBundled=true)
2024-10-05 18:52:35,358 [   9941]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Eclipse" not found PluginDescriptor(name=Space, id=com.jetbrains.space, moduleName=intellij.space.vcs, descriptorPath=intellij.space.vcs.xml, path=/usr/local/pycharm/plugins/space, version=221.5787.24, package=com.intellij.space.vcs, isBundled=true)
Info  | RdCoroutineScope          | 1:main          | RdCoroutineHost overridden 
2024-10-05 18:52:38,909 [  13492]   WARN - #c.i.n.i.NotificationGroupManagerImpl - Notification group CodeWithMe is already registered (group=com.intellij.notification.NotificationGroup@5e82df6a). Plugin descriptor: PluginDescriptor(name=Code With Me, id=com.jetbrains.codeWithMe, descriptorPath=plugin.xml, path=/usr/local/pycharm/plugins/cwm-plugin, version=221.5787.24, package=null, isBundled=true)
2024-10-05 18:52:47,195 [  21778]   WARN - #c.i.o.a.i.ActionUpdater - 593 ms to grab EDT for OpenFileAction#update (com.intellij.ide.actions.OpenFileAction)
2024-10-05 18:52:47,275 [  21858]   WARN - #c.i.o.a.i.ActionUpdater - 527 ms to grab EDT for CWMTelephonyGroup#update (com.jetbrains.rd.platform.codeWithMe.telephony.CWMTelephonyGroup)
2024-10-05 18:52:49,175 [  23758]   WARN - #c.i.o.a.i.ActionUpdater - 607 ms to grab EDT for SoftWrapAction#update (com.jetbrains.python.console.PydevConsoleRunnerImpl$SoftWrapAction)
2024-10-05 18:52:52,145 [  26728]   WARN - #c.i.o.a.i.ActionUpdater - 429 ms to grab EDT for #update (com.intellij.codeInsight.actions.ReaderModeActionProvider$createAction$1)
2024-10-05 18:52:53,934 [  28517]   WARN - #c.i.o.a.i.ActionUpdater - 110 ms to call on EDT ToggleLineBreakpointAction#update (com.intellij.xdebugger.impl.actions.ToggleLineBreakpointAction). Use `UpdateInBackground`.
2024-10-05 18:52:54,736 [  29319]   WARN - #c.i.o.a.i.ActionUpdater - 225 ms to grab EDT for CWMTelephonyGroup#update (com.jetbrains.rd.platform.codeWithMe.telephony.CWMTelephonyGroup)
2024-10-05 18:53:06,981 [  41564]   WARN - #c.i.o.a.i.ActionUpdater - 218 ms to grab EDT for #getChildren (com.intellij.openapi.editor.impl.EditorMarkupModelImpl$1)
2024-10-05 18:53:06,982 [  41565]   WARN - #c.i.o.a.i.ActionUpdater - 258 ms to grab EDT for RestorePreviewTextAction#update (com.intellij.application.options.colors.FontEditorPreview$RestorePreviewTextAction)
2024-10-05 18:53:07,897 [  42480]   WARN - #c.i.o.a.i.ActionUpdater - 493 ms to grab EDT for TabListAction#update (com.intellij.ide.actions.TabListAction)
2024-10-05 18:53:12,668 [  47251]   WARN - #c.i.o.a.i.ActionUpdater - 1140 ms to call on BGT RunContextAction#update (com.intellij.execution.actions.RunContextAction)
2024-10-05 18:53:12,811 [  47394]   WARN - #c.i.o.a.i.ActionPopupMenuImpl - 1354 ms to fill popup menu EditorPopup
2024-10-05 18:53:30,064 [  64647]   WARN - #c.i.o.a.i.ActionUpdater - 157 ms to call on EDT HideAction#update (com.intellij.toolWindow.ToolWindowHeader$HideAction). Use `UpdateInBackground`.
2024-10-05 19:57:45,785 [  10726]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Visual Studio" not found PluginDescriptor(name=IDEA CORE, id=com.intellij, descriptorPath=plugin.xml, path=/usr/local/pycharm/lib, version=221.5787.24, package=null, isBundled=true)
2024-10-05 19:57:45,881 [  10822]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Eclipse" not found PluginDescriptor(name=IDEA CORE, id=com.intellij, descriptorPath=plugin.xml, path=/usr/local/pycharm/lib, version=221.5787.24, package=null, isBundled=true)
2024-10-05 19:57:45,881 [  10822]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "NetBeans 6.5" not found PluginDescriptor(name=IDEA CORE, id=com.intellij, descriptorPath=plugin.xml, path=/usr/local/pycharm/lib, version=221.5787.24, package=null, isBundled=true)
2024-10-05 19:57:45,882 [  10823]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Visual Studio" not found PluginDescriptor(name=IDEA CORE, id=com.intellij, descriptorPath=plugin.xml, path=/usr/local/pycharm/lib, version=221.5787.24, package=null, isBundled=true)
2024-10-05 19:57:46,071 [  11012]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Eclipse" not found PluginDescriptor(name=Python Community Edition, id=PythonCore, descriptorPath=plugin.xml, path=/usr/local/pycharm/plugins/python-ce, version=221.5787.24, package=null, isBundled=true)
2024-10-05 19:57:46,072 [  11013]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "NetBeans 6.5" not found PluginDescriptor(name=Python Community Edition, id=PythonCore, descriptorPath=plugin.xml, path=/usr/local/pycharm/plugins/python-ce, version=221.5787.24, package=null, isBundled=true)
2024-10-05 19:57:46,091 [  11032]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Eclipse" not found PluginDescriptor(name=GitHub, id=org.jetbrains.plugins.github, descriptorPath=plugin.xml, path=/usr/local/pycharm/plugins/github, version=221.5787.24, package=org.jetbrains.plugins.github, isBundled=true)
2024-10-05 19:57:46,109 [  11050]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Eclipse" not found PluginDescriptor(name=Space, id=com.jetbrains.space, moduleName=intellij.space.vcs, descriptorPath=intellij.space.vcs.xml, path=/usr/local/pycharm/plugins/space, version=221.5787.24, package=com.intellij.space.vcs, isBundled=true)
2024-10-05 19:57:51,610 [  16551]   WARN - #c.i.n.i.NotificationGroupManagerImpl - Notification group CodeWithMe is already registered (group=com.intellij.notification.NotificationGroup@522e3be). Plugin descriptor: PluginDescriptor(name=Code With Me, id=com.jetbrains.codeWithMe, descriptorPath=plugin.xml, path=/usr/local/pycharm/plugins/cwm-plugin, version=221.5787.24, package=null, isBundled=true)
Info  | RdCoroutineScope          | 10:JobScheduler FJ pool 0/2 | RdCoroutineHost overridden 
2024-10-05 19:57:58,108 [  23049]   WARN - #c.i.o.a.i.ActionUpdater - 351 ms to grab EDT for OpenFileAction#update (com.intellij.ide.actions.OpenFileAction)
2024-10-05 19:57:59,860 [  24801]   WARN - #c.i.o.a.i.ActionUpdater - 123 ms to call on EDT SpaceCopyLinkActionGroup#update (com.intellij.space.vcs.SpaceCopyLinkActionGroup). Use `UpdateInBackground`.
2024-10-05 19:58:07,470 [  32411]   WARN - #c.i.o.a.i.ActionUpdater - 1137 ms to call on BGT RunContextAction#update (com.intellij.execution.actions.RunContextAction)
2024-10-05 19:58:07,471 [  32412]   WARN - #c.i.o.a.i.ActionUpdater - 1899 ms to call on BGT RunContextAction#update (com.intellij.execution.actions.RunContextAction)
2024-10-05 20:09:19,837 [ 704778]   WARN - #c.i.o.a.i.ActionUpdater - 378 ms to grab EDT for ShowOptionsAction#update (com.intellij.toolWindow.ToolWindowHeader$ShowOptionsAction)
